id,title,status,loc.0,date,time,mins,desc,tags.0,tags.1,tags.2,people.0.id,people.0.name,people.1.id,people.1.name,people.2.id,people.2.name,people.3.id,people.3.name,people.4.id,people.4.name,140
47,Holodeck 2017,,Guinan's Place (Brickyard),2017-11-25,13:00,60,"The state of the art in virtual reality (VR) systems today is unique. We live in a time where VR systems and content have recently proven profitable as a consumer electronic device. Many of the ""hard problems"" have been solved and VR systems are on track to annually improve. In the past 30+ years of VR work, progress has been much slower. The holodeck from Star Trek represents the ultimate VR system. Users in the holodeck are are portrayed to experience seamless virtual environments where the simulation was ""real."" Currently available VR systems allow users to experience virtual environments with several limitations including the inability feel/touch, eat, or even smell items in the virtual world. Some recent work has been completed at Indiana University to provided VR system developers with a tool to help extend VR computers for electronic control of physical devices. This tool is named cy.PIPES. What this new innovation allows for is the easy construction of environmental feedback within a VR system. Developers need only to connect common house fans arranged around a VR space to simulate wind conditions. Similarly this could be done with heat lamps for heat feedback. Supporting olfactory (smell) feedback is also possible with common pieces and parts found at a hardware store. This presentation will explain how close we are to having a real working holodeck here in the year 2017. A cy.PIPES VR system will be setup for demonstration.",Presentation,STEM,,9,Chauncey Frend,,,,,,,,,
48,Solution Squad: Putting the M in STEM,Cancelled,Holocenter (FS-C),2017-11-25,13:00,60,"STEM education is on the rise, and on the cutting edge of STEM comics comes Solution Squad, a team featuring math-themed superheroes. Now there's a full-size graphic novel with lessons and activities for grades 4-8! Join creator and Indiana middle school teacher Jim McClain as he shows you (with a free download code) how Solution Squad helps students better understand an abstract subject through comics! Solution Squad comics are available in print, in special landscape digital format perfect for classroom projection, and there's even a YouTube channel with Solution Squad character puppets!",Presentation,STEM,,24,Jim McClain,,,,,,,,,
49,What is Secular Humanism?,,Briefing Room (DR-2),2017-11-25,13:00,60,"Gene Roddenberry's Secular Humanism influenced his writing on Star Trek. Reba Wooden, Executive Director of Center For Inquiry Indiana, will talk about what Secular Humanism is. Center For Inquiry is a Secular Humanist organization that seeks to foster a secular society based on reason, science, freedom of inquiry, and humanist values. http://www.centerforinquiry.net/indy",Presentation,Humanities,,43,Reba Boyd Wooden,,,,,,,,,
50,Klingon Pop Warrior,,Main Bridge (GB1-5),2017-11-25,13:00,60,Enjoy the musical stylings of the Klingon Pop Warrior. Ever wondered what if Britney Spears were a Klingon? This isn't exactly the same thing but it's as close as you're likely to get in this universe.,Concert,Klingon,Entertainment,23,Jen Usellis,,,,,,,,,
51,Narrative and Storytelling in Science and Public Policy,,United Federation for Science (GB-6),2017-11-25,13:00,60,"MFS Chicago will present a TED style talk on the effective use of narrative and story telling in science communication. The talk will be designed to fill a one-hour time slot, with a 30 to 45 minute talk followed by a 30 to 15 minute Q&A.",Presentation,Humanities,,59,March For Science Indianapolis,,,,,,,,,
117,John and Bonnie Signature,,Promenade,2017-11-25,13:30,60,Get an autograph from John and Bonnie. Additional fee required,Signatures,Media Guests,,16,John Billingsley,75,Bonita Friedericy,,,,,,,
52,Symbiont Neuroscience,,Astrophysics (FS-D),2017-11-25,14:00,60,"Brain-tapping symbionts and parasites aren’t new to science fiction, but combined with the evolving understanding of neurology, we can guess at some surprising results of this bio-hacking.",Presentation,STEM,,50,Shannon Eichorn,,,,,,,,,
53,Edible Entomology for Everyone,,Guinan's Place (Brickyard),2017-11-25,14:00,60,"Participants will explore the fascinating world of edible entomology, first learning about foods made of or with insects, then having the opportunity to taste several dishes contaning insects.",Presentation,STEM,,48,Sarah Gillard,,,,,,,,,
54,Intro to Cosplay for Kids,,Holocenter (FS-C),2017-11-25,14:00,60,"An small history of costuming and modern cosplay followed by dress-up fun. Costumes, wigs, accessories will be provided. It will end with a short trek through the convention halls so everyone can see the costumes the kids have made for themselves.",Cosplay,,,27,Kassandra Mariano,,,,,,,,,
55,How Fan Clubs Can Enrich Your Life,,Observation Lounge (Golden Preconvene),2017-11-25,14:00,60,"Finding your fellow fan. Fan Clubs are a way to connect and meet people who have similar enjoyments. The fan club also gives back by making your fandom more enriching. Come meet some of the various fan clubs (Starfleet, Klingons, Barfleet, Royal Manticore Navy) that are here at Starbase Indy as we share our experiences with you and listen to yours.",Mingle,,,6,Brad Handley,,,,,,,,,
56,What Do You Think of ST:Discovery?,,Briefing Room (DR-2),2017-11-25,14:00,60,"Matt Hoffman of the Indy Knights and Carl Doninger lead a discussion on CBS's new Star Trek series- ""Star Trek:Discovery.""",Discussion,,,35,Matt Hoffman,64,Carl Doninger,,,,,,,
57,Robert O'Reilly Q&A,,Main Bridge (GB1-5),2017-11-25,14:00,60,"Robert O'Reilly answers your questions about his life, career and, of course, his time in the Star Trek universe.",Q&A,Media Guests,Klingon,44,Robert O'Reilly,,,,,,,,,
